"STAGE_ID","GAME_ID","GAME_DATE","GAME_DOW","TEAM_ID","HOME_AWAY_FLAG","GOALS_FOR","GOALS_AGAINST","GOALS_FOR_LAST_X","GOALS_AGAINST_LAST_X","GAME_COUNT_LAST_X","DAYS_SINCE_LAST_GAME","DAYS_UNTIL_END_OF_SEASON"
49443,144,26-OCT-05,4,9,"A",3,4,35,37,3,2,174
49447,148,26-OCT-05,4,11,"A",1,4,24,30,3,3,174
49452,153,27-OCT-05,5,35,"A",2,6,38,28,3,2,173
49457,158,28-OCT-05,6,21,"A",1,2,33,23,3,3,172
49459,160,28-OCT-05,6,18,"A",5,3,23,36,2,3,172
49463,164,28-OCT-05,6,36,"A",2,4,23,42,2,2,172
49464,165,29-OCT-05,7,35,"A",3,4,37,32,3,2,171
49465,166,29-OCT-05,7,24,"A",5,4,31,36,3,1,171
49466,167,29-OCT-05,7,11,"A",2,3,21,30,4,2,171
49467,168,29-OCT-05,7,33,"A",3,2,29,24,2,1,171
49471,172,29-OCT-05,7,26,"A",5,2,30,24,2,2,171
49473,174,29-OCT-05,7,10,"A",6,4,30,28,3,1,171
49474,175,29-OCT-05,7,16,"A",5,3,29,36,3,1,171
49477,178,30-OCT-05,1,29,"A",2,3,28,32,4,1,170
49481,182,01-NOV-05,3,19,"A",4,5,24,30,3,1,168
49483,184,01-NOV-05,3,9,"A",3,4,35,35,3,3,168
49484,185,01-NOV-05,3,21,"A",0,3,30,21,3,3,168
49485,186,01-NOV-05,3,13,"A",1,4,28,38,3,3,168
49486,187,01-NOV-05,3,15,"A",1,5,20,32,3,3,168
49487,188,01-NOV-05,3,23,"A",1,4,33,27,3,3,168
49488,189,01-NOV-05,3,37,"A",6,4,31,43,3,3,168
49490,191,02-NOV-05,4,13,"A",6,5,23,39,3,1,167
49491,192,02-NOV-05,4,27,"A",10,4,44,22,3,3,167
49492,193,02-NOV-05,4,20,"A",6,3,36,25,2,4,167
49495,196,03-NOV-05,5,19,"A",1,4,27,33,3,2,166
49496,197,03-NOV-05,5,34,"A",3,4,36,35,3,3,166
49497,198,03-NOV-05,5,15,"A",1,2,18,35,3,2,166
49500,201,03-NOV-05,5,30,"A",5,1,37,48,3,2,166
49501,202,03-NOV-05,5,33,"A",2,4,34,29,3,2,166
49502,203,03-NOV-05,5,36,"A",1,8,22,44,1,6,166
49503,204,03-NOV-05,5,20,"A",0,4,40,27,3,1,166
49505,206,04-NOV-05,6,37,"A",2,3,30,44,2,3,165
49508,209,04-NOV-05,6,18,"A",7,2,29,33,4,1,165
49510,211,05-NOV-05,7,16,"A",3,2,36,37,3,1,164
49511,212,05-NOV-05,7,23,"A",2,3,30,30,3,3,164
49512,213,05-NOV-05,7,24,"A",2,3,31,40,3,2,164
49513,214,05-NOV-05,7,30,"A",3,6,36,42,3,2,164
49515,216,05-NOV-05,7,35,"A",0,1,40,28,3,1,164
49516,217,05-NOV-05,7,29,"A",4,1,28,27,3,2,164
49517,218,05-NOV-05,7,10,"A",2,3,32,35,3,1,164
49520,221,05-NOV-05,7,21,"A",3,1,24,24,3,3,164
49521,222,05-NOV-05,7,33,"A",3,5,34,29,3,2,164
49522,223,06-NOV-05,1,29,"A",1,2,32,26,3,1,163
49523,224,06-NOV-05,1,21,"A",4,3,24,20,3,1,163
49525,226,06-NOV-05,1,34,"A",4,5,35,34,3,1,163
49526,227,07-NOV-05,2,35,"A",3,4,35,26,3,2,162
49529,230,08-NOV-05,3,9,"A",3,4,38,34,3,3,161
49530,231,08-NOV-05,3,31,"A",2,5,23,30,3,3,161
49531,232,08-NOV-05,3,29,"A",4,2,31,28,3,2,161
49533,234,08-NOV-05,3,25,"A",4,1,26,41,3,3,161
49534,235,08-NOV-05,3,18,"A",2,3,34,33,4,1,161
49536,237,09-NOV-05,4,20,"A",4,5,38,27,3,4,160
49537,238,09-NOV-05,4,26,"A",4,3,29,25,3,2,160
49540,241,09-NOV-05,4,32,"A",1,3,26,45,3,3,160
49541,242,10-NOV-05,5,22,"A",2,3,34,28,3,2,159
49542,243,10-NOV-05,5,27,"A",5,2,50,21,2,5,159
49543,244,10-NOV-05,5,16,"A",3,5,37,35,3,3,159
49544,245,10-NOV-05,5,25,"A",2,3,29,37,3,2,159
49548,249,10-NOV-05,5,14,"A",5,3,43,31,3,2,159
49549,250,11-NOV-05,6,33,"A",2,5,33,34,3,1,158
49550,251,11-NOV-05,6,34,"A",2,5,33,40,3,3,158
49551,252,11-NOV-05,6,18,"A",3,1,33,32,3,3,158
49552,253,11-NOV-05,6,20,"A",4,2,39,31,2,2,158
49553,254,11-NOV-05,6,21,"A",1,3,20,25,3,3,158
49554,255,11-NOV-05,6,12,"A",1,0,45,26,2,2,158
49559,260,12-NOV-05,7,37,"A",9,0,35,36,3,1,157
49560,261,12-NOV-05,7,14,"A",3,5,46,31,3,2,157
49561,262,12-NOV-05,7,36,"A",2,3,26,39,3,1,157
49562,263,12-NOV-05,7,32,"A",1,3,25,46,3,2,157
49563,264,12-NOV-05,7,9,"A",2,5,37,35,3,2,157
49564,265,12-NOV-05,7,10,"A",1,6,33,37,3,1,157
49566,267,12-NOV-05,7,26,"A",6,1,32,27,4,2,157
49568,269,13-NOV-05,1,18,"A",1,3,35,30,3,2,156
49569,270,13-NOV-05,1,16,"A",3,1,39,30,3,1,156
49572,273,14-NOV-05,2,21,"A",2,3,18,26,2,3,155
49573,274,14-NOV-05,2,18,"A",5,2,35,26,4,1,155
49574,275,14-NOV-05,2,28,"A",2,5,47,33,3,2,155
49576,277,15-NOV-05,3,33,"A",3,4,33,37,4,1,154
49577,278,15-NOV-05,3,24,"A",1,4,29,36,3,3,154
49579,280,15-NOV-05,3,12,"A",2,1,36,29,3,3,154
49580,281,15-NOV-05,3,26,"A",1,2,34,23,3,3,154
49581,282,16-NOV-05,4,30,"A",3,2,31,38,4,2,153
49582,283,16-NOV-05,4,25,"A",7,3,28,34,3,2,153
49583,284,16-NOV-05,4,32,"A",2,0,24,46,3,4,153
49587,288,16-NOV-05,4,35,"A",3,1,31,30,2,3,153
49589,290,17-NOV-05,5,34,"A",4,1,30,37,3,2,152
49590,291,17-NOV-05,5,36,"A",5,8,27,40,3,2,152
49591,292,17-NOV-05,5,26,"A",1,5,34,22,3,2,152
49592,293,17-NOV-05,5,35,"A",4,5,28,27,3,1,152
49593,294,17-NOV-05,5,19,"A",1,4,24,35,3,2,152
49595,296,18-NOV-05,6,37,"A",6,5,43,34,3,2,151
49597,298,18-NOV-05,6,15,"A",3,6,17,32,3,2,151
49598,299,18-NOV-05,6,14,"A",3,2,39,30,3,2,151
49600,301,19-NOV-05,7,29,"A",4,3,27,23,2,3,150
49601,302,19-NOV-05,7,10,"A",3,2,37,42,3,2,150
49603,304,19-NOV-05,7,13,"A",4,3,28,37,2,1,150
49605,306,19-NOV-05,7,14,"A",3,4,37,29,4,1,150
49606,307,19-NOV-05,7,23,"A",2,4,27,29,2,4,150
49607,308,19-NOV-05,7,36,"A",5,1,32,44,3,2,150
49608,309,19-NOV-05,7,12,"A",3,4,36,29,3,2,150
49611,312,19-NOV-05,7,37,"A",1,5,46,35,3,1,150
49612,313,20-NOV-05,1,33,"A",5,2,29,38,3,3,149
49613,314,20-NOV-05,1,35,"A",3,2,29,31,3,3,149
49616,317,21-NOV-05,2,11,"A",3,2,29,21,3,3,148
49617,318,21-NOV-05,2,31,"A",1,2,26,30,2,2,148
49618,319,22-NOV-05,3,26,"A",3,2,33,25,4,2,147
49619,320,22-NOV-05,3,37,"A",2,3,42,33,3,3,147
49621,322,22-NOV-05,3,33,"A",4,2,31,38,3,2,147
49622,323,22-NOV-05,3,7,"A",2,1,21,27,3,2,147
49625,326,22-NOV-05,3,13,"A",1,3,30,35,2,3,147
49626,327,23-NOV-05,4,10,"A",4,3,34,40,3,1,146
49627,328,23-NOV-05,4,33,"A",4,3,31,34,3,1,146
49628,329,23-NOV-05,4,23,"A",4,2,24,30,1,4,146
49629,330,23-NOV-05,4,31,"A",2,3,22,28,3,2,146
49630,331,23-NOV-05,4,7,"A",1,3,20,26,4,1,146
49633,334,23-NOV-05,4,18,"A",4,3,33,28,3,2,146
49635,336,24-NOV-05,5,26,"A",6,3,32,25,4,2,145
